"id","author","bibliography","transcript","token_sequence","token","agent","invivo_code","start_date","end_date","person","place","freecode","herme_code","impression","noetictension","comment","scene","symbols","field19"
1,367,222,6,9003292,9003292,367,3,3,3,3,3,3,6,6,6,6,94,,
2,367,222,6,9003540,9003540,367,4,4,4,4,4,4,,,,,95,,
3,367,222,6,9003407,9003407,367,6,0,6,6,6,6,,,,,96,,
4,367,222,6,9003444,9003444,367,5,0,5,5,5,5,,,,,,,
5,367,222,6,9003470,9003470,367,7,0,7,7,7,7,,,,,97,,
6,367,222,6,9003544,9003544,367,8,0,8,8,8,8,,,,,98,,
7,367,222,6,9003405,9003405,367,9,0,9,9,9,9,,,,,99,,
8,532,278,13,9006478,9006478,532,10,0,10,10,10,10,,,,,99,,
9,532,278,13,9006764,9006764,532,11,0,11,11,11,11,,,,,99,,
10,532,278,13,9007941,9007941,532,12,0,12,12,12,12,,,,,100,,
11,532,278,13,9007064,9007064,532,13,0,13,13,13,13,,,,,101,,
12,532,279,14,9016934,9016934,532,14,0,14,14,14,14,,,,,101,,
13,532,279,14,9016954,9016954,532,15,0,15,15,15,15,,,,,101,,
14,532,279,14,9012833,9012833,532,16,0,16,16,16,16,,,,,102,,
15,1077,109,,,,224,,,,,,,,,,,103,,
16,1077,109,,,,224,,,,,,,,,,,104,,
17,224,106,10,9002266,9002266,224,,,,,,,,,,,105,,
18,224,1472,,,,224,,,,,,,,,,,106,,
19,224,111,2,9002831,9002831,224,,,,,,,,,,,107,,
20,224,111,2,9002769,9002769,224,,,,,,,,,,,107,,
21,224,106,10,,,224,,,,,,,,,,,108,,
22,231,136,7,9001145,9001145,231,17,0,17,17,17,17,,,,,109,,
23,231,136,7,9001266,9001266,231,18,0,18,18,18,18,,,,,110,,
24,231,136,7,9001083,9001083,231,19,0,19,19,19,19,,,,,111,,
25,231,136,7,9001304,9001304,231,20,0,20,20,20,20,,,,,,,
26,231,136,7,9001823,9001823,231,21,0,21,21,21,21,,,,,113,,
27,231,136,7,9001569,9001569,231,22,0,22,22,22,22,,,,,114,,
28,231,136,7,9000852,9000852,231,23,0,23,23,23,23,,,,,116,,
29,1074,1031,22,9020697,9020697,75,,,,,,,,,,,117,,
30,1074,1031,22,9020706,9020706,75,,,,,,,,,,,118,,
31,1074,1031,22,9020707,9020707,75,,,,,,,,,,,119,,
32,1074,1031,22,9020712,9020712,75,,,,,,,,,,,120,,
33,1074,1031,22,9020710,9020710,75,,,,,,,,,,,121,,
34,1074,1031,22,9020709,9020709,75,,,,,,,,,,,122,,
35,1074,1031,22,9020714,9020714,75,,,,,,,,,,,123,,
36,1074,1030,21,9020636,9020636,130,,,,,,,,,,,124,,
37,1074,1030,21,9020640,9020640,130,,,,,,,,,,,127,,
38,1074,1030,21,9020658,9020658,130,,,,,,,,,,,126,,
39,1074,1030,21,9020665,9020665,130,,,,,,,,,,,129,,
40,1074,1030,21,9020676,9020676,130,,,,,,,,,,,130,,
41,1074,1030,21,9020678,9020678,130,,,,,,,,,,,131,,
42,1074,1030,21,9020682,9020682,130,,,,,,,,,,,132,,
43,234,1469,11,9000065,9000065,234,,,,,,,,,,,133,,
44,234,1469,11,9000387,9000387,234,,,,,,,,,,,134,,
45,234,1469,11,9000202,9000202,234,,,,,,,,,,,135,,
46,234,1469,11,9000263,9000263,234,,,,,,,,,,,136,,
47,234,1469,11,9000229,9000229,234,,,,,,,,,,,137,,
48,234,1469,11,9000566,9000566,234,,,,,,,,,,,138,,
49,234,1469,11,9000062,9000062,234,,,,,,,,,,,139,,
50,645,532,4,9005092,9005092,645,24,24,24,24,24,24,5,5,5,5,140,,
51,645,532,4,9005344,9005344,645,,,,,,,,,,,141,,
52,645,532,4,9003639,9003639,645,,,,,,,,,,,142,,
53,645,532,4,9006232,9006232,645,,,,,,,,,,,143,,
54,645,532,4,9005457,9005457,645,,,,,,,,,,,144,,
55,645,532,4,9006306,9006306,645,,,,,,,,,,,145,,
56,645,532,4,9004599,9004599,645,,,,,,,,,,,146,,
