"id","subject","story","tags","collaboration_status","genre","synopsis_backstory","field6"
1,"Swiss History","History of Switzerland","historiography; production","private",,,
2,"Biography","Analysis of the Lifestory of Katharina Morel","biography; analysis",,,,
3,"Biography","Analysis of the Lifestory of Heinrich Weiss","biography; analysis",,,,
4,"Biography","Analysis of the Lifestory of Meta Heusser-Schweizer","biography; analysis",,,,
5,"Biography","Analysis of the Lifestory of Constantin Siegwart","biography; analysis",,,,
6,"Biography","Analysis of the Lifestory of Bernhard Hirzel","biography; analysis",,,,
7,"Biography","Analysis of the Lifestory of Emma Herwegh","biography; analysis",,,,
8,"Biography","Analysis of the Lifestory of Alfred Escher","biography; analysis",,,,
9,"Biography","Analysis of the Lifestory of Karl Bürkli","biography; analysis",,,,
