"id","author_id","author_name","type","agent_id","agent_name","story_title","approach","tags","collaboration_status","bio_team"
"1","1","1","3","367","367","Biography of Katharina Morel",\N,\N,"1","1"
"2","1","1","3","532","532","Biography of Conrad Siegwart-Müller",\N,\N,"1","1"
"3","1","1","3","645","645","Biography of Heinrich Weiss",\N,\N,"1","1"
"4","1","1","3","130","130","Biography of Alfred Escher",\N,\N,"1","1"
"5","1","1","3","224","224","Biography of Emma Herwegh",\N,\N,"1","1"
"6","1","1","3","231","231","Biography of Meta Heusser",\N,\N,"1","1"
"7","1","1","3","234","234","Biography of Bernhard Hirzel",\N,\N,"1","1"
"8","1","1","3","75","75","Biography of Karl Bürkli",\N,\N,"1","1"
"10","2","2","3","168","168","Biography of Jonas Furrer","historiographic",\N,\N,"2"
"11","2","2","3","532","532","Siegwart-Müller the Apostate","historiographic",\N,\N,"2"
"13","1","1","3","1101","1101","Characterization of the People of Switzerland","historiographic",\N,"1","1"
"14","1","1","3","1102","1102","Characterization of Divine Liberty","historiographic",\N,\N,"1"
